DEMOGRAPHICS,,,,WHAT ABOUT TIC TAC MOST APPEALS TO YOU?,,,,,,,,,,,WHICH FLAVOR(S) DIDN'T APPEAL TO YOU? (SELECT ALL THAT APPLY),,,,,,,,,,,,,,,,,,
Survey Respondent,Gender,Age Tier, Did you unlock the Tic Tac Mini Packs rebate in the Ibotta app?,Easy to share with friends and family,Easy to share around the office with co-workers,It's the perfect pick-me-up,Helps satisfy a craving,Helps me connect with others,Reminds me of my childhood,When was the last time you tried a Tic Tac? ,We noticed you engaged with the Tic Tac Mini Packs rebate but didn’t redeem. Which of the statements below best describes your reason for not purchasing? ,We noticed you engaged with the Tic Tac Mini Packs rebate but didn’t redeem. Which of the statements below best describes your reason for not purchasing?  [other],Where did you expect to find the product?,Where did you expect to find the product? [other],Melon,Strawberry,Orange,Mango,Freshmint,Did you buy another brand of candy/mints instead of Tic Tac Mini Packs? ,Which type of Tic Tac did you purchase? ,Which flavor of Tic Tac did you purchase? ,Which flavor of Tic Tac did you purchase?  [other],Did you purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints did you choose to purchase? ,Which brand of candy/mints did you choose to purchase?  [other],Do you typically purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints do you typically purchase? ,Which brand of candy/mints do you typically purchase?  [other],Would you consider yourself loyal to that brand? ,How likely are you to consider choosing Tic Tac Mini Packs the next time you buy candy/mints? ,What flavor would you most likely purchase? ,Why would you consider choosing other brands before Tic Tac Mini Packs? 
Respondent 503,F,35-44,Yes,1,,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Skittles,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 504,F,25-34,Yes,1,,,,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 505,F,45-54,Yes,,1,,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Breath Savers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 506,F,35-44,Yes,1,1,1,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Ice Breakers ,,,,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,"They're small and disappear too quickly.  However, perfect for my 6 year old, just small enough."
Respondent 507,F,15-24,Yes,,,1,,,,Rarely or Never,I was unable to find the product in the store,,"Other, please specify...",Candy aisle and at checkout,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",It is my first choice ,Tropical Mix,
Respondent 508,F,25-34,Yes,,,,,,1,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Multipack,Ice Breakers,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Price
Respondent 509,F,45-54,Yes,1,,1,,,,Today,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 510,F,35-44,Yes,1,,1,1,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,Depends on what i am in the mood for.
Respondent 511,F,35-44,Yes,,,1,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 512,F,25-34,Yes,1,,1,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Ice Breakers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
