DEMOGRAPHICS,,,,,,,,,,WHAT ABOUT TIC TAC MOST APPEALS TO YOU?,,,,,,,WHAT INFLUENCED YOUR DECISION TO PURCHASE TIC TAC MINI PACKS?,,,,,,,,,WHERE DID YOU FIND THE PRODUCT? ,,WHERE DID YOU EXPECT TO FIND THE PRODUCT? ,,,WHICH BRAND OF CANDY/MINTS DO YOU TYPICALLy PURCHASE?  ,,,,,
Survey Respondent,Gender,Age Tier,Flavor Purchased, Did you purchase and try Tic Tac Mini Packs,When do you plan on trying the product?  ,"After trying the product, what did you like the most? ","After trying the product, what did you like the least?",What did you think of the flavor you redeemed? ,When was the last time you purchased a Tic Tac?  ,Tastes great,Easy to share,The unique flavors,It’s the perfect pick-me-up,Helps satisfy a craving,Helps me connect with others,Reminds me of my childhood,I like Tic Tac and wanted to try Tic Tac Mini Packs,"I wanted to try the flavors offered (Freshmint, Tropical Mix)",Tic Tac Mini Packs was more appealing than the candy/mints I usually buy,Tic Tac Mini Packs provided more value than the other candy/mints I usually buy,I like the convenience of the multi-serve packaging ,The Ibotta Rebate,"Other, please specify...","Other, please specify... [text",Were you able to easily find Tic Tac Mini Packs? ,Where did you find the product? ,Where did you find the product?  [other],Where did you expect to find the product? ,Where did you expect to find the product?  [other],Do you typically purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints do you typically purchase?  ,Which brand of candy/mints do you typically purchase?   [other],Would you consider yourself loyal to that brand? ,How likely are you to repurchase Tic Tac Mini Packs the next time you buy candy/mints? ,"In the future, how often would you purchase Tic Tac Mini Packs? ",Why would you likely not repurchase Tic Tac Mini Packs? 
Respondent 1,F,45-54,Tropical Mix,Yes,,Individual wrapped ,Nothing ,Extremely Liked ,Two or three days ago,1,1,1,1,1,1,1,1,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 2,F,45-54,Multiple Flavors,Yes,, Convenience ,I liked everything about it ,Extremely Liked ,Today,1,1,1,,1,1,1,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 3,F,65+,Tropical Mix,Yes,,I purchased the Tropical Mix and enjoyed the flavors. ,"Every time I opened a mini pack, at least one or two of the Tic Tacs fell out onto the floor. Also wish there were 5 or 6 in each mini pack.",Extremely Liked ,In the last month,1,1,,,1,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Breath Savers,,"No, I vary between a few different brands",Probably would not ,,I did not like the packaging since I lost tic tacs when opening. I will still buy regular tic tacs.
Respondent 4,F,35-44,Tropical Mix,Yes,,I like that they are individual. You don't have to take a whole container with you and make a lot of noise getting the Tic Tacs out of the contianer.,"I wish the main bag was like a zip lock bag. indivual packages of tic tacs just fell out, everywhere. ",Extremely Liked ,Four to seven days ago,1,1,1,,,,1,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 5,F,25-34,Tropical Mix,Yes,,Mango flavored,Lime flavored,Moderately Liked  ,Four to seven days ago,1,,,1,1,,,,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"No, I vary between a few different brands",Might/Might Not ,Once a Month,
Respondent 6,F,45-54,Freshmint,Yes,,Convenient snack size!,Too easy to eat a bunch...,Extremely Liked ,Rarely or Never,1,1,,,,,1,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 7,F,25-34,Freshmint,Yes,,The convenient packs.,Flavor.,Moderately Disliked  ,Two or three days ago,,,,,1,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 8,F,25-34,Tropical Mix,Yes,,The size,Price,Extremely Liked ,Four to seven days ago,1,1,1,,1,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 9,F,55-64,Freshmint,Yes,,Confirms the number you eat at one time,Too much packaging,Extremely Liked ,Four to seven days ago,1,,,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 10,F,55-64,Freshmint,Yes,,Small packs convenient to carry with you,Nothing so far. ,Extremely Liked ,Longer than a month ago,1,1,1,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"Other, please specify...",Variety,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 11,F,35-44,Freshmint,Yes,,The individual packs. It's great for the kids. ,Nothing! It's a great item to share,Extremely Liked ,Four to seven days ago,,,,,,,1,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 12,F,35-44,Tropical Mix,Yes,,the flavor,na,Moderately Liked  ,Four to seven days ago,1,,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 13,F,15-24,Tropical Mix,Yes,,The taste! Kids love them! ,None,Extremely Liked ,Four to seven days ago,1,1,1,1,1,1,1,1,,1,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 14,F,25-34,Tropical Mix,Yes,,Easy to transport in small pocket,That there were four in each packet wished they came just two to a packet four was just a bit strong,Extremely Liked ,In the last month,1,1,,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 15,F,35-44,Freshmint,Yes,,Convenience of a pack with a few mints - perfect for the car or purse or desk drawer!,Have no dislikes. ,Moderately Liked  ,Longer than a month ago,1,1,1,,,,1,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 16,F,25-34,Freshmint,Yes,,The convenience of buying a pack at once ,Nothing ,Extremely Liked ,In the last month,1,1,,,1,,,,,,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 17,F,45-54,Freshmint,Yes,,Convenient to take along,Extra packaging causing extra garbage,Moderately Liked  ,Rarely or Never,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month or less,
Respondent 18,F,35-44,Freshmint,,,,,,,1,1,,1,1,,1,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Probably would ,Every 2-3 Weeks,
Respondent 19,F,45-54,Multiple Flavors,Yes,,Individual packaging,Tropical flavor,Extremely Liked ,Two or three days ago,1,,,,,,,,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 20,F,25-34,Tropical Mix,,,Different flavors and multi pack,N/A,Extremely Liked ,Four to seven days ago,,1,,,,,,,1,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Starburst,,"No, I’m not loyal to any brands ",Probably would ,Once a Month,
Respondent 21,F,45-54,Tropical Mix,,,The freshness and taster he freshness and taste,Taste,Extremely Liked ,Two or three days ago,,1,,,,,,1,,1,,,1,,,"Yes, I found it immediately ",With the chips and other snacks,,,,Multipack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Week,
Respondent 22,F,45-54,Freshmint,Yes,,The little packs,Nothing,Extremely Liked ,Four to seven days ago,1,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 23,F,25-34,Tropical Mix,Yes,,Strawberry,None,Extremely Liked ,Four to seven days ago,1,1,,,,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 24,F,35-44,Multiple Flavors,Yes,,The taste,"Nothing, I liked it all",Extremely Liked ,Four to seven days ago,1,,,,,,,,1,,,,,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 25,F,35-44,Multiple Flavors,Yes,,It's simple,I don't understand the benefit ,Moderately Liked  ,Today,,1,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Might/Might Not ,Once a Month or less,
Respondent 26,F,35-44,Freshmint,Yes,,The individual packets ,I can't store them as easily as I could the small container.,Moderately Liked  ,In the last month,1,1,,1,,,,,1,,,,1,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 27,F,35-44,Multiple Flavors,Yes,,Flavor,Price,Moderately Liked  ,Four to seven days ago,,1,,,1,,,,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,In the checkout lane with the other mints,,Single Pack,Breath Savers,,"No, I’m not loyal to any brands ",Probably would ,Once a Month,
Respondent 28,F,25-34,Tropical Mix,Yes,,How little the packs were. Throw them in your purse and go,Nothing,Extremely Liked ,Two or three days ago,,,1,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Starburst,,"No, I’m not loyal to any brands ",Definitely would ,Every 2-3 Weeks,
Respondent 29,F,35-44,Multiple Flavors,Yes,,Flavor ,Na,Extremely Liked ,Four to seven days ago,,1,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month,
Respondent 30,M,25-34,Multiple Flavors,Yes,,Convenient to carry with you ,Nothing ,Moderately Liked  ,Longer than a month ago,1,1,1,,1,,1,1,1,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 31,F,35-44,Multiple Flavors,Yes,,Covennience,Nothing,Moderately Liked  ,Longer than a month ago,1,1,,,,1,,1,1,1,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 32,F,35-44,Tropical Mix,Yes,,The mini packs were convenient to give to my class.,I didn't like that they were hard to open.,Moderately Liked  ,In the last month,,1,1,,,1,,,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands ",Definitely would ,Once a Month,
Respondent 33,F,25-34,Freshmint,Yes,,Small Packaging,Liked everything ,Extremely Liked ,In the last month,,,,,1,,,1,1,1,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 34,F,35-44,Freshmint,Yes,,Small size to fit in pocket & easy to share with coworkers,Having to search multiple stores for it,Extremely Liked ,Four to seven days ago,1,1,,1,,,,,,,,1,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands ",Probably would ,Every 2-3 Weeks,
Respondent 35,F,25-34,Multiple Flavors,Yes,,I liked that they fit in my pocket and I can take them anywhere.,Not enough in the pack,Extremely Liked ,In the last month,1,1,1,,1,,1,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I’m not loyal to any brands ",Definitely would ,Every 2-3 Weeks,
